,paper_title,paper_link,conference,year,repo_link,repo_star,last_update,img2graph,text2graph,code2graph,Platform
11,Densely Connected Convolutional Networks,http://openaccess.thecvf.com/content_cvpr_2017/html/Huang_Densely_Connected_Convolutional_CVPR_2017_paper.html,CVPR,2017,https://github.com/liuzhuang13/DenseNet,3130,1/2/2019,1,0,0,tensorflow
12,A Unified Approach to Interpreting Model Predictions,http://papers.nips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions.pdf,NIPS,2017,https://github.com/slundberg/shap,3122,1/2/2019,0,0,0,tensorflow
13,Joint 3D Face Reconstruction and Dense Alignment with Position Map Regression Network,http://openaccess.thecvf.com/content_ECCV_2018/html/Yao_Feng_Joint_3D_Face_ECCV_2018_paper.html,ECCV,2018,https://github.com/YadiraF/PRNet,2434,1/2/2019,0,0,0,tensorflow
14,Learning to See in the Dark,http://openaccess.thecvf.com/content_cvpr_2018/papers/Chen_Learning_to_See_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/cchen156/Learning-to-See-in-the-Dark,2326,1/2/2019,0,0,0,tensorflow
15,Glow: Generative Flow with Invertible 1x1 Convolutions,http://arxiv.org/abs/1807.03039v2,NIPS,2018,https://github.com/openai/glow,2088,1/2/2019,1,0,0,tensorflow
16,Deformable Convolutional Networks,http://openaccess.thecvf.com/content_iccv_2017/html/Dai_Deformable_Convolutional_Networks_ICCV_2017_paper.html,ICCV,2017,https://github.com/msracver/Deformable-ConvNets,2165,1/2/2019,0,0,0,pytorch
17,"ELF: An Extensive, Lightweight and Flexible Research Platform for Real-time Strategy Games",http://papers.nips.cc/paper/6859-elf-an-extensive-lightweight-and-flexible-research-platform-for-real-time-strategy-games.pdf,NIPS,2017,https://github.com/facebookresearch/ELF,1823,1/2/2019,1,0,0,pytorch
18,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,http://openaccess.thecvf.com/content_cvpr_2017/html/Qi_PointNet_Deep_Learning_CVPR_2017_paper.html,CVPR,2017,https://github.com/charlesq34/pointnet,1523,1/2/2019,1,0,0,tensorflow
19,Improved Training of Wasserstein GANs,http://papers.nips.cc/paper/7159-improved-training-of-wasserstein-gans.pdf,NIPS,2017,https://github.com/igul222/improved_wgan_training,1405,1/2/2019,0,0,0,tensorflow
20,Aggregated Residual Transformations for Deep Neural Networks,http://openaccess.thecvf.com/content_cvpr_2017/html/Xie_Aggregated_Residual_Transformations_CVPR_2017_paper.html,CVPR,2017,https://github.com/facebookresearch/ResNeXt,1361,1/2/2019,1,0,0,pytorch
21,Squeeze-and-Excitation Networks,http://openaccess.thecvf.com/content_cvpr_2018/papers/Hu_Squeeze-and-Excitation_Networks_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/hujie-frank/SENet,1477,1/2/2019,1,0,0,tensorflow
22,Efficient Neural Architecture Search via Parameters Sharing,http://proceedings.mlr.press/v80/pham18a.html,ICML,2018,https://github.com/carpedm20/ENAS-pytorch,1382,1/2/2019,1,0,0,pytorch
23,Multimodal Unsupervised Image-to-image Translation,http://openaccess.thecvf.com/content_ECCV_2018/html/Xun_Huang_Multimodal_Unsupervised_Image-to-image_ECCV_2018_paper.html,ECCV,2018,https://github.com/NVlabs/MUNIT,1296,1/2/2019,1,0,0,tensorflow
24,Conditional Random Fields as Recurrent Neural Networks,http://openaccess.thecvf.com/content_iccv_2015/html/Zheng_Conditional_Random_Fields_ICCV_2015_paper.html,ICCV,2015,https://github.com/torrvision/crfasrnn,1189,1/2/2019,0,0,0,tensorflow
25,Photographic Image Synthesis With Cascaded Refinement Networks,http://openaccess.thecvf.com/content_iccv_2017/html/Chen_Photographic_Image_Synthesis_ICCV_2017_paper.html,ICCV,2017,https://github.com/CQFIO/PhotographicImageSynthesis,1142,1/2/2019,0,0,0,tensorflow
26,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,http://openaccess.thecvf.com/content_cvpr_2017/html/Ledig_Photo-Realistic_Single_Image_CVPR_2017_paper.html,CVPR,2017,https://github.com/tensorlayer/srgan,1301,1/2/2019,1,0,0,tensorflow
27,SphereFace: Deep Hypersphere Embedding for Face Recognition,http://openaccess.thecvf.com/content_cvpr_2017/html/Liu_SphereFace_Deep_Hypersphere_CVPR_2017_paper.html,CVPR,2017,https://github.com/wy1iu/sphereface,1048,1/2/2019,1,0,0,tensorflow
28,Bayesian GAN,http://papers.nips.cc/paper/6953-bayesian-gan.pdf,NIPS,2017,https://github.com/andrewgordonwilson/bayesgan,942,1/2/2019,0,0,0,tensorflow
29,Fully Convolutional Networks for Semantic Segmentation,http://openaccess.thecvf.com/content_cvpr_2015/html/Long_Fully_Convolutional_Networks_2015_CVPR_paper.html,CVPR,2015,https://github.com/shekkizh/FCN.tensorflow,911,1/2/2019,0,0,0,tensorflow
30,Finding Tiny Faces,http://openaccess.thecvf.com/content_cvpr_2017/html/Hu_Finding_Tiny_Faces_CVPR_2017_paper.html,CVPR,2017,https://github.com/peiyunh/tiny,856,1/2/2019,0,0,0,pytorch
31,Image Generation From Scene Graphs,http://openaccess.thecvf.com/content_cvpr_2018/papers/Johnson_Image_Generation_From_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/google/sg2im,851,1/2/2019,0,0,0,pytorch
32,Learning to Discover Cross-Domain Relations with Generative Adversarial Networks,http://proceedings.mlr.press/v70/kim17a.html,ICML,2017,https://github.com/carpedm20/DiscoGAN-pytorch,784,1/2/2019,0,0,0,tensorflow
33,Toward Multimodal Image-to-Image Translation,http://papers.nips.cc/paper/6650-toward-multimodal-image-to-image-translation.pdf,NIPS,2017,https://github.com/junyanz/BiCycleGAN,794,1/2/2019,1,0,0,tensorflow
34,Can Spatiotemporal 3D CNNs Retrace the History of 2D CNNs and ImageNet?,http://openaccess.thecvf.com/content_cvpr_2018/papers/Hara_Can_Spatiotemporal_3D_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/kenshohara/3D-ResNets-PyTorch,924,1/2/2019,1,0,0,pytorch
35,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space,http://papers.nips.cc/paper/7095-pointnet-deep-hierarchical-feature-learning-on-point-sets-in-a-metric-space.pdf,NIPS,2017,https://github.com/charlesq34/pointnet2,772,1/2/2019,0,0,0,tensorflow
36,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks,http://proceedings.mlr.press/v70/finn17a.html,ICML,2017,https://github.com/cbfinn/maml,729,1/2/2019,0,0,0,tensorflow
37,GANimation: Anatomically-aware Facial Animation from a Single Image,http://openaccess.thecvf.com/content_ECCV_2018/html/Albert_Pumarola_Anatomically_Coherent_Facial_ECCV_2018_paper.html,ECCV,2018,https://github.com/albertpumarola/GANimation,772,1/2/2019,0,0,0,pytorch
38,Dilated Residual Networks,http://openaccess.thecvf.com/content_cvpr_2017/html/Yu_Dilated_Residual_Networks_CVPR_2017_paper.html,CVPR,2017,https://github.com/fyu/drn,640,1/2/2019,1,0,0,pytorch
39,DSOD: Learning Deeply Supervised Object Detectors From Scratch,http://openaccess.thecvf.com/content_iccv_2017/html/Shen_DSOD_Learning_Deeply_ICCV_2017_paper.html,ICCV,2017,https://github.com/szq0214/DSOD,582,1/2/2019,0,0,0,tensorflow
40,Arbitrary Style Transfer in Real-Time With Adaptive Instance Normalization,http://openaccess.thecvf.com/content_iccv_2017/html/Huang_Arbitrary_Style_Transfer_ICCV_2017_paper.html,ICCV,2017,https://github.com/xunhuang1995/AdaIN-style,572,1/2/2019,1,0,0,tensorflow
41,Learning Disentangled Representations with Semi-Supervised Deep Generative Models,http://papers.nips.cc/paper/7174-learning-disentangled-representations-with-semi-supervised-deep-generative-models.pdf,NIPS,2017,https://github.com/probtorch/probtorch,556,1/2/2019,0,0,0,pytorch
42,PointCNN,http://arxiv.org/abs/1801.07791v3,NIPS,2018,https://github.com/yangyanli/PointCNN,607,1/2/2019,0,0,0,tensorflow
43,Simple Baselines for Human Pose Estimation and Tracking,http://openaccess.thecvf.com/content_ECCV_2018/html/Bin_Xiao_Simple_Baselines_for_ECCV_2018_paper.html,ECCV,2018,https://github.com/Microsoft/human-pose-estimation.pytorch,752,1/2/2019,0,0,0,tensorflow
44,Learning From Simulated and Unsupervised Images Through Adversarial Training,http://openaccess.thecvf.com/content_cvpr_2017/html/Shrivastava_Learning_From_Simulated_CVPR_2017_paper.html,CVPR,2017,https://github.com/carpedm20/simulated-unsupervised-tensorflow,492,1/2/2019,0,0,0,tensorflow
45,Plug & Play Generative Networks: Conditional Iterative Generation of Images in Latent Space,http://openaccess.thecvf.com/content_cvpr_2017/html/Nguyen_Plug__Play_CVPR_2017_paper.html,CVPR,2017,https://github.com/Evolving-AI-Lab/ppgn,487,1/2/2019,0,0,0,tensorflow
46,Cascaded Pyramid Network for Multi-Person Pose Estimation,http://openaccess.thecvf.com/content_cvpr_2018/papers/Chen_Cascaded_Pyramid_Network_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/chenyilun95/tf-cpn,497,1/2/2019,0,0,0,tensorflow
47,Generative Image Inpainting With Contextual Attention,http://openaccess.thecvf.com/content_cvpr_2018/papers/Yu_Generative_Image_Inpainting_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/JiahuiYu/generative_inpainting,609,1/2/2019,0,0,0,tensorflow
48,Neural 3D Mesh Renderer,http://openaccess.thecvf.com/content_cvpr_2018/papers/Kato_Neural_3D_Mesh_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/hiroharu-kato/neural_renderer,489,1/2/2019,0,0,0,pytorch
49,Dual Path Networks,http://papers.nips.cc/paper/7033-dual-path-networks.pdf,NIPS,2017,https://github.com/cypw/DPNs,451,1/2/2019,1,0,0,pytorch
50,Inductive Representation Learning on Large Graphs,http://papers.nips.cc/paper/6703-inductive-representation-learning-on-large-graphs.pdf,NIPS,2017,https://github.com/williamleif/GraphSAGE,552,1/2/2019,0,0,0,tensorflow
51,Video Frame Interpolation via Adaptive Convolution,http://openaccess.thecvf.com/content_cvpr_2017/html/Niklaus_Video_Frame_Interpolation_CVPR_2017_paper.html,CVPR,2017,https://github.com/sniklaus/pytorch-sepconv,482,1/2/2019,0,0,0,pytorch
52,Video Frame Interpolation via Adaptive Separable Convolution,http://openaccess.thecvf.com/content_iccv_2017/html/Niklaus_Video_Frame_Interpolation_ICCV_2017_paper.html,ICCV,2017,https://github.com/sniklaus/pytorch-sepconv,482,1/2/2019,0,0,0,pytorch
53,Zero-Shot Recognition via Semantic Embeddings and Knowledge Graphs,http://openaccess.thecvf.com/content_cvpr_2018/papers/Wang_Zero-Shot_Recognition_via_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/JudyYe/zero-shot-gcn,489,1/2/2019,0,0,0,tensorflow
54,In-Place Activated BatchNorm for Memory-Optimized Training of DNNs,http://openaccess.thecvf.com/content_cvpr_2018/papers/Bulo_In-Place_Activated_BatchNorm_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/mapillary/inplace_abn,485,1/2/2019,1,0,0,pytorch
55,End-to-End Recovery of Human Shape and Pose,http://openaccess.thecvf.com/content_cvpr_2018/papers/Kanazawa_End-to-End_Recovery_of_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/akanazawa/hmr,502,1/2/2019,0,0,0,tensorflow
56,Recurrent Highway Networks,http://proceedings.mlr.press/v70/zilly17a.html,ICML,2017,https://github.com/julian121266/RecurrentHighwayNetworks,397,1/2/2019,0,0,0,tensorflow
57,Deep Image Matting,http://openaccess.thecvf.com/content_cvpr_2017/html/Xu_Deep_Image_Matting_CVPR_2017_paper.html,CVPR,2017,https://github.com/Joker316701882/Deep-Image-Matting,434,1/2/2019,0,0,0,tensorflow
58,The Unreasonable Effectiveness of Deep Features as a Perceptual Metric,http://openaccess.thecvf.com/content_cvpr_2018/papers/Zhang_The_Unreasonable_Effectiveness_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/richzhang/PerceptualSimilarity,447,1/2/2019,0,0,0,tensorflow
59,Distractor-aware Siamese Networks for Visual Object Tracking,http://openaccess.thecvf.com/content_ECCV_2018/html/Zheng_Zhu_Distractor-aware_Siamese_Networks_ECCV_2018_paper.html,ECCV,2018,https://github.com/foolwood/DaSiamRPN,545,1/2/2019,0,0,0,pytorch
60,Mean teachers are better role models: Weight-averaged consistency targets improve semi-supervised deep learning results,http://papers.nips.cc/paper/6719-mean-teachers-are-better-role-models-weight-averaged-consistency-targets-improve-semi-supervised-deep-learning-results.pdf,NIPS,2017,https://github.com/CuriousAI/mean-teacher/,347,9/16/2018,0,0,0,tensorflow
61,Frustum PointNets for 3D Object Detection From RGB-D Data,http://openaccess.thecvf.com/content_cvpr_2018/papers/Qi_Frustum_PointNets_for_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/charlesq34/frustum-pointnets,434,1/2/2019,0,0,0,tensorflow
62,Efficient Interactive Annotation of Segmentation Datasets With Polygon-RNN++,http://openaccess.thecvf.com/content_cvpr_2018/papers/Acuna_Efficient_Interactive_Annotation_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/fidler-lab/polyrnn-pp-pytorch,397,1/2/2019,0,0,0,pytorch
63,Annotating Object Instances With a Polygon-RNN,http://openaccess.thecvf.com/content_cvpr_2017/html/Castrejon_Annotating_Object_Instances_CVPR_2017_paper.html,CVPR,2017,https://github.com/fidler-lab/polyrnn-pp-pytorch,397,1/2/2019,0,0,0,pytorch
64,RefineNet: Multi-Path Refinement Networks for High-Resolution Semantic Segmentation,http://openaccess.thecvf.com/content_cvpr_2017/html/Lin_RefineNet_Multi-Path_Refinement_CVPR_2017_paper.html,CVPR,2017,https://github.com/guosheng/refinenet,379,1/2/2019,0,0,0,pytorch
65,Gibson Env: Real-World Perception for Embodied Agents,http://openaccess.thecvf.com/content_cvpr_2018/papers/Xia_Gibson_Env_Real-World_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/StanfordVL/GibsonEnv,385,1/2/2019,0,0,0,tensorflow
66,Deep Lattice Networks and Partial Monotonic Functions,http://papers.nips.cc/paper/6891-deep-lattice-networks-and-partial-monotonic-functions.pdf,NIPS,2017,https://github.com/tensorflow/lattice,349,1/2/2019,0,0,0,tensorflow
67,RON: Reverse Connection With Objectness Prior Networks for Object Detection,http://openaccess.thecvf.com/content_cvpr_2017/html/Kong_RON_Reverse_Connection_CVPR_2017_paper.html,CVPR,2017,https://github.com/taokong/RON,345,1/2/2019,1,0,0,tensorflow
68,Detecting Oriented Text in Natural Images by Linking Segments,http://openaccess.thecvf.com/content_cvpr_2017/html/Shi_Detecting_Oriented_Text_CVPR_2017_paper.html,CVPR,2017,https://github.com/dengdan/seglink,364,1/2/2019,0,0,0,tensorflow
69,Universal Style Transfer via Feature Transforms,http://papers.nips.cc/paper/6642-universal-style-transfer-via-feature-transforms.pdf,NIPS,2017,https://github.com/Yijunmaverick/UniversalStyleTransfer,344,1/2/2019,1,0,0,tensorflow
70,Learning Deep Features for Discriminative Localization,http://openaccess.thecvf.com/content_cvpr_2016/html/Zhou_Learning_Deep_Features_CVPR_2016_paper.html,CVPR,2016,https://github.com/jazzsaxmafia/Weakly_detector,323,1/2/2019,0,0,0,tensorflow
71,Transparency by Design: Closing the Gap Between Performance and Interpretability in Visual Reasoning,http://openaccess.thecvf.com/content_cvpr_2018/papers/Mascharka_Transparency_by_Design_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/davidmascharka/tbd-nets,317,1/2/2019,1,0,0,pytorch
72,Noise2Noise: Learning Image Restoration without Clean Data,http://proceedings.mlr.press/v80/lehtinen18a.html,ICML,2018,https://github.com/yu4u/noise2noise,370,1/2/2019,0,0,0,tensorflow
73,"GeoNet: Unsupervised Learning of Dense Depth, Optical Flow and Camera Pose",http://openaccess.thecvf.com/content_cvpr_2018/papers/Yin_GeoNet_Unsupervised_Learning_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/yzcjtr/GeoNet,359,1/2/2019,0,0,0,tensorflow
74,GeoNet: Geometric Neural Network for Joint Depth and Surface Normal Estimation,http://openaccess.thecvf.com/content_cvpr_2018/papers/Qi_GeoNet_Geometric_Neural_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/yzcjtr/GeoNet,359,1/2/2019,0,0,0,tensorflow
75,One-Shot Video Object Segmentation,http://openaccess.thecvf.com/content_cvpr_2017/html/Caelles_One-Shot_Video_Object_CVPR_2017_paper.html,CVPR,2017,https://github.com/scaelles/OSVOS-TensorFlow,316,1/2/2019,0,0,0,tensorflow
76,Neural Baby Talk,http://openaccess.thecvf.com/content_cvpr_2018/papers/Lu_Neural_Baby_Talk_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/jiasenlu/NeuralBabyTalk,332,1/2/2019,1,0,0,pytorch
77,Deep Laplacian Pyramid Networks for Fast and Accurate Super-Resolution,http://openaccess.thecvf.com/content_cvpr_2017/html/Lai_Deep_Laplacian_Pyramid_CVPR_2017_paper.html,CVPR,2017,https://github.com/phoenix104104/LapSRN,301,1/2/2019,0,0,0,tensorflow
78,Acquisition of Localization Confidence for Accurate Object Detection,http://openaccess.thecvf.com/content_ECCV_2018/html/Borui_Jiang_Acquisition_of_Localization_ECCV_2018_paper.html,ECCV,2018,https://github.com/vacancy/PreciseRoIPooling,384,1/2/2019,0,0,0,tensorflow
79,"PWC-Net: CNNs for Optical Flow Using Pyramid, Warping, and Cost Volume",http://openaccess.thecvf.com/content_cvpr_2018/papers/Sun_PWC-Net_CNNs_for_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/NVlabs/PWC-Net,398,1/2/2019,0,0,0,pytorch
80,Pixel Recursive Super Resolution,http://openaccess.thecvf.com/content_iccv_2017/html/Dahl_Pixel_Recursive_Super_ICCV_2017_paper.html,ICCV,2017,https://github.com/nilboy/pixel-recursive-super-resolution,301,1/2/2019,0,0,0,tensorflow
81,The Lovász-Softmax Loss: A Tractable Surrogate for the Optimization of the Intersection-Over-Union Measure in Neural Networks,http://openaccess.thecvf.com/content_cvpr_2018/papers/Berman_The_LovaSz-Softmax_Loss_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/bermanmaxim/LovaszSoftmax,416,1/2/2019,0,0,0,tensorflow
82,Dilated Recurrent Neural Networks,http://papers.nips.cc/paper/6613-dilated-recurrent-neural-networks.pdf,NIPS,2017,https://github.com/code-terminator/DilatedRNN,285,1/2/2019,0,0,0,tensorflow
83,Fast End-to-End Trainable Guided Filter,http://openaccess.thecvf.com/content_cvpr_2018/papers/Wu_Fast_End-to-End_Trainable_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/wuhuikai/DeepGuidedFilter,312,1/2/2019,0,0,0,tensorflow
84,The Predictron:  End-To-End Learning and Planning,http://proceedings.mlr.press/v70/silver17a.html,ICML,2017,https://github.com/zhongwen/predictron,274,1/2/2019,0,0,0,tensorflow
85,DeepBach: a Steerable Model for Bach Chorales Generation,http://proceedings.mlr.press/v70/hadjeres17a.html,ICML,2017,https://github.com/Ghadjeres/DeepBach,276,1/2/2019,0,0,0,pytorch
86,Age Progression/Regression by Conditional Adversarial Autoencoder,http://openaccess.thecvf.com/content_cvpr_2017/html/Zhang_Age_ProgressionRegression_by_CVPR_2017_paper.html,CVPR,2017,https://github.com/ZZUTK/Face-Aging-CAAE,297,1/2/2019,0,0,0,tensorflow
87,Style Transfer from Non-Parallel Text by Cross-Alignment,http://papers.nips.cc/paper/7259-style-transfer-from-non-parallel-text-by-cross-alignment.pdf,NIPS,2017,https://github.com/shentianxiao/language-style-transfer,296,1/2/2019,0,0,0,tensorflow
88,Self-Critical Sequence Training for Image Captioning,http://openaccess.thecvf.com/content_cvpr_2017/html/Rennie_Self-Critical_Sequence_Training_CVPR_2017_paper.html,CVPR,2017,https://github.com/ruotianluo/self-critical.pytorch,299,1/2/2019,0,0,0,tensorflow
89,License Plate Detection and Recognition in Unconstrained Scenarios,http://openaccess.thecvf.com/content_ECCV_2018/html/Sergio_Silva_License_Plate_Detection_ECCV_2018_paper.html,ECCV,2018,https://github.com/sergiomsilva/alpr-unconstrained,326,1/2/2019,1,0,0,tensorflow
90,Supervision-by-Registration: An Unsupervised Approach to Improve the Precision of Facial Landmark Detectors,http://openaccess.thecvf.com/content_cvpr_2018/papers/Dong_Supervision-by-Registration_An_Unsupervised_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/facebookresearch/supervision-by-registration,326,1/2/2019,1,0,0,pytorch
91,Pyramid Stereo Matching Network,http://openaccess.thecvf.com/content_cvpr_2018/papers/Chang_Pyramid_Stereo_Matching_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/JiaRenChang/PSMNet,335,1/2/2019,0,0,0,pytorch
92,Convolutional Neural Networks With Alternately Updated Clique,http://openaccess.thecvf.com/content_cvpr_2018/papers/Yang_Convolutional_Neural_Networks_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/iboing/CliqueNet,272,1/2/2019,0,0,0,tensorflow
93,Lifting From the Deep: Convolutional 3D Pose Estimation From a Single Image,http://openaccess.thecvf.com/content_cvpr_2017/html/Tome_Lifting_From_the_CVPR_2017_paper.html,CVPR,2017,https://github.com/DenisTome/Lifting-from-the-Deep-release,280,1/2/2019,0,0,0,tensorflow
94,Deep Photo Enhancer: Unpaired Learning for Image Enhancement From Photographs With GANs,http://openaccess.thecvf.com/content_cvpr_2018/papers/Chen_Deep_Photo_Enhancer_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/nothinglo/Deep-Photo-Enhancer,294,1/2/2019,1,0,0,tensorflow
95,Neural Relational Inference for Interacting Systems,http://proceedings.mlr.press/v80/kipf18a.html,ICML,2018,https://github.com/ethanfetaya/NRI,289,1/2/2019,0,0,0,pytorch
96,Learning to Adapt Structured Output Space for Semantic Segmentation,http://openaccess.thecvf.com/content_cvpr_2018/papers/Tsai_Learning_to_Adapt_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/wasidennis/AdaptSegNet,280,1/2/2019,0,0,0,pytorch
97,Richer Convolutional Features for Edge Detection,http://openaccess.thecvf.com/content_cvpr_2017/html/Liu_Richer_Convolutional_Features_CVPR_2017_paper.html,CVPR,2017,https://github.com/yun-liu/rcf,399,1/2/2019,0,0,0,pytorch
98,OptNet: Differentiable Optimization as a Layer in Neural Networks,http://proceedings.mlr.press/v70/amos17a.html,ICML,2017,https://github.com/locuslab/optnet,245,1/2/2019,0,0,0,pytorch
99,Sequence to Sequence - Video to Text,http://openaccess.thecvf.com/content_iccv_2015/html/Venugopalan_Sequence_to_Sequence_ICCV_2015_paper.html,ICCV,2015,https://github.com/jazzsaxmafia/video_to_sequence,239,1/2/2019,1,0,0,tensorflow
100,An intriguing failing of convolutional neural networks and the CoordConv solution,https://arxiv.org/abs/1807.03247,NIPS,2018,https://github.com/mkocabas/CoordConv-pytorch,249,1/2/2019,0,0,0,pytorch
101,Convolutional Sequence to Sequence Learning,http://proceedings.mlr.press/v70/gehring17a.html,ICML,2017,https://github.com/tobyyouup/conv_seq2seq,258,1/2/2019,0,0,0,tensorflow
102,LiteFlowNet: A Lightweight Convolutional Neural Network for Optical Flow Estimation,http://openaccess.thecvf.com/content_cvpr_2018/papers/Hui_LiteFlowNet_A_Lightweight_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/twhui/LiteFlowNet,261,1/2/2019,0,0,0,pytorch
103,End-to-End Learning of Motion Representation for Video Understanding,http://openaccess.thecvf.com/content_cvpr_2018/papers/Fan_End-to-End_Learning_of_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/LijieFan/tvnet,238,1/2/2019,0,0,0,tensorflow
104,Pixel2Mesh: Generating 3D Mesh Models from Single RGB Images,http://openaccess.thecvf.com/content_ECCV_2018/html/Nanyang_Wang_Pixel2Mesh_Generating_3D_ECCV_2018_paper.html,ECCV,2018,https://github.com/nywang16/Pixel2Mesh,323,1/2/2019,1,0,0,tensorflow
105,Bilinear Attention Networks,http://arxiv.org/abs/1805.07932v1,NIPS,2018,https://github.com/jnhwkim/ban-vqa,258,1/2/2019,0,0,0,pytorch
106,Semi-Parametric Image Synthesis,http://openaccess.thecvf.com/content_cvpr_2018/papers/Qi_Semi-Parametric_Image_Synthesis_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/xjqicuhk/SIMS,226,1/2/2019,0,0,0,tensorflow
107,Iterative Visual Reasoning Beyond Convolutions,http://openaccess.thecvf.com/content_cvpr_2018/papers/Chen_Iterative_Visual_Reasoning_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/endernewton/iter-reason,228,1/2/2019,0,0,0,tensorflow
108,BlitzNet: A Real-Time Deep Network for Scene Understanding,http://openaccess.thecvf.com/content_iccv_2017/html/Dvornik_BlitzNet_A_Real-Time_ICCV_2017_paper.html,ICCV,2017,https://github.com/dvornikita/blitznet,227,1/2/2019,0,0,0,tensorflow
109,A Style-Aware Content Loss for Real-time HD Style Transfer,http://openaccess.thecvf.com/content_ECCV_2018/html/Artsiom_Sanakoyeu_A_Style-aware_Content_ECCV_2018_paper.html,ECCV,2018,https://github.com/CompVis/adaptive-style-transfer,349,1/2/2019,0,0,0,tensorflow
